,금일,계좌,평가금액,,,,
1,3630,삼성전자,정규장현금매수,78936,522,41204592,
2,4725,SK하이닉스,정규장현금매도,128020,322,41222440,
3,4726,삼성전자,정규장현금매도,78764,522,41114808,
4,4727,KODEX,국채선물10년인버스,정규장현금매도,48665,16,778640
5,4728,TIGER,원유선물인버스(H),정규장현금매도,0,0,0
,금일,계좌,평가금액,,,,
2022-01-19,15:20:05,,,,,,
0,485508710,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,6979,KODEX,국채선물10년인버스,정규장현금매도,0,0,0
1,6981,TIGER,원유선물인버스(H),정규장현금매도,0,0,0
,금일,계좌,평가금액,,,,
2022-02-04,4:24:39,,,,,,
0,487858926,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,2675,휴마시스,정규장현금매수,35141,1180,41466380,
1,2676,씨젠,정규장현금매수,62200,666,41425200,
2,3568,대영포장,정규장현금매수,2339,17751,41519589,
3,3573,대영포장,정규장현금매수,2345,17713,41536985,
4,3686,대영포장,정규장현금매도,2382,35464,84475248,
5,3687,씨젠,정규장현금매도,63213,666,42099858,
6,3688,KODEX,국채선물10년인버스,정규장현금매도,48940,8,391520
7,3691,휴마시스,정규장현금매도,35775,1180,42214500,
8,3692,TIGER,원유선물인버스(H),정규장현금매도,4385,72,315720
,금일,계좌,평가금액,,,,
2022-02-04,4:24:39,,,,,,
0,487858926,,,,,,
,주문번호,종목명,주문내용,체결단가,체결수량,체결금액,
0,2675,휴마시스,정규장현금매수,35141,1180,41466380,
1,2676,씨젠,정규장현금매수,62200,666,41425200,
2,3568,대영포장,정규장현금매수,2339,17751,41519589,
3,3573,대영포장,정규장현금매수,2345,17713,41536985,
4,3686,대영포장,정규장현금매도,2382,35464,84475248,
5,3687,씨젠,정규장현금매도,63213,666,42099858,
6,3688,KODEX,국채선물10년인버스,정규장현금매도,48940,8,391520
7,3691,휴마시스,정규장현금매도,35775,1180,42214500,
